"","periodo","prov","RatioDocente","Ratio_Desertores","Ratio_BACH"
"142","2015T3",23,17.1356213097124,0.0286601102904267,469
"143","2015T3",24,19.6885497473312,0.0189282817036026,565
"144","2015T3",90,19.9419811075612,0.0308081558352126,342
"145","2015T2",1,13.4768900128683,0.0187944544016428,455
"146","2015T2",2,13.4670284525139,0.018361452942201,317
"147","2015T2",3,14.6678878269753,0.0251468008360005,469
"148","2015T2",4,13.2053426129109,0.0331233854954376,420
"149","2015T2",5,14.6478808372557,0.0226995295962149,397
"150","2015T2",6,14.8314821008084,0.0221780553318875,331
"151","2015T2",7,14.1922329008757,0.0287126354153882,536
"152","2015T2",8,18.8562165607446,0.0408925985311984,408
"153","2015T2",9,17.7459604849218,0.0238915486662872,653
"154","2015T2",10,15.4987255839879,0.0227504153654047,507
"155","2015T2",11,9.55308996907936,0.0164169211112422,357
"156","2015T2",12,22.7663166719843,0.023490269182673,639
"157","2015T2",13,14.2235396989793,0.0145639242112721,367
"158","2015T2",14,16.8209742671171,0.0358522112603988,246
"159","2015T2",15,13.5112415688618,0.052943264917558,307
"160","2015T2",16,14.0369472315624,0.0327789174279768,240
"161","2015T2",17,11.6312235999474,0.0255788566343295,503
"162","2015T2",18,15.4568203583351,0.0274979975050583,496
"163","2015T2",19,11.0649208846115,0.0113976737970712,329
"164","2015T2",21,13.3897153719599,0.0306866276256743,254
"165","2015T2",22,15.5408965901731,0.022094061505934,324
"166","2015T2",23,17.1356213097124,0.0286601102904267,469
"167","2015T2",24,19.6885497473312,0.0189282817036026,565
"168","2015T2",90,19.9419811075612,0.0308081558352126,342
"169","2015T1",1,13.4768900128683,0.0187944544016428,455
"170","2015T1",2,13.4670284525139,0.018361452942201,317
"171","2015T1",3,14.6678878269753,0.0251468008360005,469
"172","2015T1",4,13.2053426129109,0.0331233854954376,420
"173","2015T1",5,14.6478808372557,0.0226995295962149,397
"174","2015T1",6,14.8314821008084,0.0221780553318875,331
"175","2015T1",7,14.1922329008757,0.0287126354153882,536
"176","2015T1",8,18.8562165607446,0.0408925985311984,408
"177","2015T1",9,17.7459604849218,0.0238915486662872,653
"178","2015T1",10,15.4987255839879,0.0227504153654047,507
"179","2015T1",11,9.55308996907936,0.0164169211112422,357
"180","2015T1",12,22.7663166719843,0.023490269182673,639
"181","2015T1",13,14.2235396989793,0.0145639242112721,367
"182","2015T1",14,16.8209742671171,0.0358522112603988,246
"183","2015T1",15,13.5112415688618,0.052943264917558,307
"184","2015T1",16,14.0369472315624,0.0327789174279768,240
"185","2015T1",17,11.6312235999474,0.0255788566343295,503
"186","2015T1",18,15.4568203583351,0.0274979975050583,496
"187","2015T1",19,11.0649208846115,0.0113976737970712,329
"188","2015T1",21,13.3897153719599,0.0306866276256743,254
"189","2015T1",22,15.5408965901731,0.022094061505934,324
"190","2015T1",23,17.1356213097124,0.0286601102904267,469
"191","2015T1",24,19.6885497473312,0.0189282817036026,565
"192","2015T1",90,19.9419811075612,0.0308081558352126,342
"193","2016T4",1,13.5960859927756,0.0185300109208142,426
"194","2016T4",2,12.2769938172653,0.0184639521359184,331
"195","2016T4",3,14.1066333373611,0.0251873974222365,453
"196","2016T4",4,12.5296315073822,0.0256072556001656,416
"197","2016T4",5,14.4408772849476,0.0237757006128748,391
"198","2016T4",6,13.2429141383103,0.030323738983217,319
"199","2016T4",7,13.6891112050446,0.0202228010496575,541
"200","2016T4",8,18.7483815833912,0.0378018112219168,418
"201","2016T4",9,18.9068799101439,0.0240846445783672,685
"202","2016T4",10,14.5338007902464,0.0233986360382084,483
"203","2016T4",11,9.97434803200465,0.0137814888339682,344
"204","2016T4",12,22.3121853858883,0.0239874786721652,670
"205","2016T4",13,15.2584892022604,0.0154362639276265,415
"206","2016T4",14,16.6637730335429,0.045627231364881,251
"207","2016T4",15,13.6461369124977,0.0418633033273516,318
"208","2016T4",16,13.9689101059741,0.0411596531724686,263
"209","2016T4",17,12.2338029806426,0.028632909193308,502
"210","2016T4",18,15.4385353838153,0.0312730519971287,474
"211","2016T4",19,11.5393367555317,0.0147547837960896,301
"212","2016T4",21,13.3635218104695,0.0379165227570363,268
"213","2016T4",22,15.8212186214114,0.0286643457596725,328
"214","2016T4",23,17.8120993571356,0.0318656616784787,506
"215","2016T4",24,17.9925777437659,0.0176459912294503,624
"216","2016T4",90,21.8268369781197,0.0200835596245989,412
"217","2016T3",1,13.5960859927756,0.0185300109208142,426
"218","2016T3",2,12.2769938172653,0.0184639521359184,331
"219","2016T3",3,14.1066333373611,0.0251873974222365,453
"220","2016T3",4,12.5296315073822,0.0256072556001656,416
"221","2016T3",5,14.4408772849476,0.0237757006128748,391
"222","2016T3",6,13.2429141383103,0.030323738983217,319
"223","2016T3",7,13.6891112050446,0.0202228010496575,541
"224","2016T3",8,18.7483815833912,0.0378018112219168,418
"225","2016T3",9,18.9068799101439,0.0240846445783672,685
"226","2016T3",10,14.5338007902464,0.0233986360382084,483
"227","2016T3",11,9.97434803200465,0.0137814888339682,344
"228","2016T3",12,22.3121853858883,0.0239874786721652,670
"229","2016T3",13,15.2584892022604,0.0154362639276265,415
"230","2016T3",14,16.6637730335429,0.045627231364881,251
"231","2016T3",15,13.6461369124977,0.0418633033273516,318
"232","2016T3",16,13.9689101059741,0.0411596531724686,263
"233","2016T3",17,12.2338029806426,0.028632909193308,502
"234","2016T3",18,15.4385353838153,0.0312730519971287,474
"235","2016T3",19,11.5393367555317,0.0147547837960896,301
"236","2016T3",21,13.3635218104695,0.0379165227570363,268
"237","2016T3",22,15.8212186214114,0.0286643457596725,328
"238","2016T3",23,17.8120993571356,0.0318656616784787,506
"239","2016T3",24,17.9925777437659,0.0176459912294503,624
"240","2016T3",90,21.8268369781197,0.0200835596245989,412
"241","2016T2",1,13.5960859927756,0.0185300109208142,426
"242","2016T2",2,12.2769938172653,0.0184639521359184,331
"243","2016T2",3,14.1066333373611,0.0251873974222365,453
"244","2016T2",4,12.5296315073822,0.0256072556001656,416
"245","2016T2",5,14.4408772849476,0.0237757006128748,391
"246","2016T2",6,13.2429141383103,0.030323738983217,319
"247","2016T2",7,13.6891112050446,0.0202228010496575,541
"248","2016T2",8,18.7483815833912,0.0378018112219168,418
"249","2016T2",9,18.9068799101439,0.0240846445783672,685
"250","2016T2",10,14.5338007902464,0.0233986360382084,483
"251","2016T2",11,9.97434803200465,0.0137814888339682,344
"252","2016T2",12,22.3121853858883,0.0239874786721652,670
"253","2016T2",13,15.2584892022604,0.0154362639276265,415
"254","2016T2",14,16.6637730335429,0.045627231364881,251
"255","2016T2",15,13.6461369124977,0.0418633033273516,318
"256","2016T2",16,13.9689101059741,0.0411596531724686,263
"257","2016T2",17,12.2338029806426,0.028632909193308,502
"258","2016T2",18,15.4385353838153,0.0312730519971287,474
"259","2016T2",19,11.5393367555317,0.0147547837960896,301
"260","2016T2",21,13.3635218104695,0.0379165227570363,268
"261","2016T2",22,15.8212186214114,0.0286643457596725,328
"262","2016T2",23,17.8120993571356,0.0318656616784787,506
"263","2016T2",24,17.9925777437659,0.0176459912294503,624
"264","2016T2",90,21.8268369781197,0.0200835596245989,412
"265","2016T1",1,13.5960859927756,0.0185300109208142,426
"266","2016T1",2,12.2769938172653,0.0184639521359184,331
"267","2016T1",3,14.1066333373611,0.0251873974222365,453
"268","2016T1",4,12.5296315073822,0.0256072556001656,416
"269","2016T1",5,14.4408772849476,0.0237757006128748,391
"270","2016T1",6,13.2429141383103,0.030323738983217,319
"271","2016T1",7,13.6891112050446,0.0202228010496575,541
"272","2016T1",8,18.7483815833912,0.0378018112219168,418
"273","2016T1",9,18.9068799101439,0.0240846445783672,685
"274","2016T1",10,14.5338007902464,0.0233986360382084,483
"275","2016T1",11,9.97434803200465,0.0137814888339682,344
"276","2016T1",12,22.3121853858883,0.0239874786721652,670
"277","2016T1",13,15.2584892022604,0.0154362639276265,415
"278","2016T1",14,16.6637730335429,0.045627231364881,251
"279","2016T1",15,13.6461369124977,0.0418633033273516,318
"280","2016T1",16,13.9689101059741,0.0411596531724686,263
"281","2016T1",17,12.2338029806426,0.028632909193308,502
"282","2016T1",18,15.4385353838153,0.0312730519971287,474
"283","2016T1",19,11.5393367555317,0.0147547837960896,301
"284","2016T1",21,13.3635218104695,0.0379165227570363,268
"285","2016T1",22,15.8212186214114,0.0286643457596725,328
"286","2016T1",23,17.8120993571356,0.0318656616784787,506
"287","2016T1",24,17.9925777437659,0.0176459912294503,624
"288","2016T1",90,21.8268369781197,0.0200835596245989,412
"289","2017T4",1,12.6868200309154,0.0163905655906372,423
"290","2017T4",2,11.1849108196555,0.0133978613735818,315
"291","2017T4",3,13.7329456751068,0.0210189366618229,409
"292","2017T4",4,12.1637281589424,0.0246290416755128,394
"293","2017T4",5,14.0229587787246,0.0184285493128008,393
"294","2017T4",6,12.5903769364601,0.0250695136749532,306
"295","2017T4",7,12.9848623273773,0.0204814048401839,509
"296","2017T4",8,18.4269843803554,0.0356658350675222,374
"297","2017T4",9,18.6633249861588,0.0210819690895014,668
"298","2017T4",10,14.471962215524,0.0222091045468808,455
"299","2017T4",11,9.33591285241319,0.0122568166767842,338
"300","2017T4",12,21.3542594768439,0.018683740760748,677
"301","2017T4",13,15.1250886865049,0.0165419688182985,400
"302","2017T4",14,16.2380849973193,0.0328266482082101,263
"303","2017T4",15,12.987902671441,0.0255538048092377,304
"304","2017T4",16,13.6068707307875,0.0334060801831033,245
"305","2017T4",17,11.6086522187307,0.0232000569982102,483
"306","2017T4",18,13.9648742517242,0.0195920371579795,448
"307","2017T4",19,10.5415604922387,0.0155420220707504,268
"308","2017T4",21,12.7287782817399,0.0223590859731334,296
"309","2017T4",22,15.0125780612777,0.0283284229794711,321
"310","2017T4",23,16.2380375051723,0.0331495322454064,529
"311","2017T4",24,16.6907953933452,0.0160838520315307,632
"312","2017T4",90,22.3052480971857,0.0246067481834193,475
"313","2017T3",1,12.6868200309154,0.0163905655906372,423
"314","2017T3",2,11.1849108196555,0.0133978613735818,315
"315","2017T3",3,13.7329456751068,0.0210189366618229,409
"316","2017T3",4,12.1637281589424,0.0246290416755128,394
"317","2017T3",5,14.0229587787246,0.0184285493128008,393
"318","2017T3",6,12.5903769364601,0.0250695136749532,306
"319","2017T3",7,12.9848623273773,0.0204814048401839,509
"320","2017T3",8,18.4269843803554,0.0356658350675222,374
"321","2017T3",9,18.6633249861588,0.0210819690895014,668
"322","2017T3",10,14.471962215524,0.0222091045468808,455
"323","2017T3",11,9.33591285241319,0.0122568166767842,338
"324","2017T3",12,21.3542594768439,0.018683740760748,677
"325","2017T3",13,15.1250886865049,0.0165419688182985,400
"326","2017T3",14,16.2380849973193,0.0328266482082101,263
"327","2017T3",15,12.987902671441,0.0255538048092377,304
"328","2017T3",16,13.6068707307875,0.0334060801831033,245
"329","2017T3",17,11.6086522187307,0.0232000569982102,483
"330","2017T3",18,13.9648742517242,0.0195920371579795,448
"331","2017T3",19,10.5415604922387,0.0155420220707504,268
"332","2017T3",21,12.7287782817399,0.0223590859731334,296
"333","2017T3",22,15.0125780612777,0.0283284229794711,321
"334","2017T3",23,16.2380375051723,0.0331495322454064,529
"335","2017T3",24,16.6907953933452,0.0160838520315307,632
"336","2017T3",90,22.3052480971857,0.0246067481834193,475
"337","2017T2",1,12.6868200309154,0.0163905655906372,423
"338","2017T2",2,11.1849108196555,0.0133978613735818,315
"339","2017T2",3,13.7329456751068,0.0210189366618229,409
"340","2017T2",4,12.1637281589424,0.0246290416755128,394
"341","2017T2",5,14.0229587787246,0.0184285493128008,393
"342","2017T2",6,12.5903769364601,0.0250695136749532,306
"343","2017T2",7,12.9848623273773,0.0204814048401839,509
"344","2017T2",8,18.4269843803554,0.0356658350675222,374
"345","2017T2",9,18.6633249861588,0.0210819690895014,668
"346","2017T2",10,14.471962215524,0.0222091045468808,455
"347","2017T2",11,9.33591285241319,0.0122568166767842,338
"348","2017T2",12,21.3542594768439,0.018683740760748,677
"349","2017T2",13,15.1250886865049,0.0165419688182985,400
"350","2017T2",14,16.2380849973193,0.0328266482082101,263
"351","2017T2",15,12.987902671441,0.0255538048092377,304
"352","2017T2",16,13.6068707307875,0.0334060801831033,245
"353","2017T2",17,11.6086522187307,0.0232000569982102,483
"354","2017T2",18,13.9648742517242,0.0195920371579795,448
"355","2017T2",19,10.5415604922387,0.0155420220707504,268
"356","2017T2",21,12.7287782817399,0.0223590859731334,296
